Zip Code,Location,City,Population,People / Sq. Mile,National Rank
63824,"37.004158, -89.525611","Blodgett, Missouri",120,1882.79,"#4,628"
64134,"38.930972, -94.487154","Kansas City, Missouri","23,471",1875.4,"#4,639"
64108,"39.084895, -94.586470","Kansas City, Missouri","6,785",1869.03,"#4,648"
64119,"39.209967, -94.514665","Kansas City, Missouri","25,702",1839.17,"#4,695"
64138,"38.967971, -94.471739","Kansas City, Missouri","24,940",1818.43,"#4,733"
63040,"38.571484, -90.626381","Grover, Missouri","8,300",1805.75,"#4,755"
63088,"38.552601, -90.494021","Valley Park, Missouri","8,366",1797.44,"#4,767"
64054,"39.112373, -94.439192","Independence, Missouri","4,153",1778.34,"#4,795"
63134,"38.740962, -90.347520","Saint Louis, Missouri","14,982",1763.93,"#4,812"
63146,"38.702855, -90.475486","Saint Louis, Missouri","29,760",1734.64,"#4,862"
64053,"39.111271, -94.465172","Independence, Missouri","5,762",1732.2,"#4,868"
64030,"38.881359, -94.522744","Grandview, Missouri","24,874",1731.71,"#4,869"
63376,"38.796281, -90.616293","Saint Peters, Missouri","68,970",1728.73,"#4,876"
63367,"38.788068, -90.789735","Lake Saint Louis, Missouri","8,197",1696.18,"#4,919"
64151,"39.214341, -94.630214","Kansas City, Missouri","22,563",1635.9,"#5,014"
64137,"38.931621, -94.542913","Kansas City, Missouri","10,061",1626.13,"#5,030"
63026,"38.503260, -90.460979","Fenton, Missouri","41,383",1616.6,"#5,054"
63010,"38.437982, -90.402156","Arnold, Missouri","36,885",1608.78,"#5,067"
64132,"38.985578, -94.544550","Kansas City, Missouri","15,956",1572.33,"#5,120"
64116,"39.149635, -94.574806","Kansas City, Missouri","15,846",1490.57,"#5,273"
63140,"38.739799, -90.321543","Saint Louis, Missouri",789,1473.5,"#5,295"
64015,"39.023354, -94.297161","Blue Springs, Missouri","28,878",1468.49,"#5,302"
65810,"37.121358, -93.315816","Springfield, Missouri","15,904",1378.35,"#5,477"
65278,"39.341196, -92.410902","Renick, Missouri",182,1373.21,"#5,493"
64081,"38.907791, -94.410568","Lees Summit, Missouri","18,042",1363.17,"#5,513"
64155,"39.277070, -94.573222","Kansas City, Missouri","16,884",1351.56,"#5,526"
63141,"38.656853, -90.457391","Saint Louis, Missouri","20,025",1343.54,"#5,545"
63048,"38.265782, -90.381923","Herculaneum, Missouri","2,407",1314.24,"#5,605"
64125,"39.106825, -94.492512","Kansas City, Missouri","2,370",1310.77,"#5,617"
63131,"38.616573, -90.443600","Saint Louis, Missouri","16,396",1308.52,"#5,622"
63868,"36.846014, -89.691405","Morehouse, Missouri","1,041",1242.06,"#5,782"
63124,"38.639880, -90.378958","Saint Louis, Missouri","9,819",1231.7,"#5,804"
63880,"36.331047, -90.026517","Whiteoak, Missouri",39,1220.9,"#5,835"
63042,"38.789772, -90.399357","Hazelwood, Missouri","19,162",1207.89,"#5,856"
64849,"37.256614, -94.444191","Neck City, Missouri",105,1205.48,"#5,863"
65623,"36.749205, -93.906255","Butterfield, Missouri",39,1178.48,"#5,918"
63138,"38.801051, -90.192396","Saint Louis, Missouri","21,879",1176.23,"#5,923"
63044,"38.761014, -90.429705","Bridgeton, Missouri","14,623",1107.55,"#6,060"
64158,"39.234236, -94.477444","Kansas City, Missouri","2,405",1040.14,"#6,227"
63019,"38.235243, -90.379637","Crystal City, Missouri","4,095",1007.41,"#6,312"
63653,"37.860000, -90.586873","Leadwood, Missouri","1,045",968.8,"#6,423"
64129,"39.048972, -94.497692","Kansas City, Missouri","10,293",959.11,"#6,452"
63703,"37.273477, -89.548293","Cape Girardeau, Missouri","9,561",951.35,"#6,470"
64090,"38.759359, -94.163578","Strasburg, Missouri",112,949.31,"#6,481"
63034,"38.845391, -90.288495","Florissant, Missouri","16,803",917.39,"#6,563"
64101,"39.103351, -94.600689","Kansas City, Missouri",335,881.98,"#6,645"
63304,"38.709380, -90.652536","Saint Charles, Missouri","38,383",867.41,"#6,685"
64145,"38.878030, -94.596188","Kansas City, Missouri","4,792",865.61,"#6,693"
63102,"38.651211, -90.185906","Saint Louis, Missouri","1,311",840.88,"#6,754"
65675,"36.929377, -93.497259","Hurley, Missouri",106,806.9,"#6,863"
64503,"39.750153, -94.842680","Saint Joseph, Missouri","12,330",805.35,"#6,870"
63127,"38.534665, -90.412217","Saint Louis, Missouri","4,852",788.25,"#6,936"
64057,"39.071957, -94.319308","Independence, Missouri","11,050",753.53,"#7,057"
64835,"37.146683, -94.437188","Carterville, Missouri","1,830",714.84,"#7,196"
64056,"39.113308, -94.319802","Independence, Missouri","15,357",712.54,"#7,213"
65740,"36.713701, -93.160005","Rockaway Beach, Missouri","2,649",703.46,"#7,256"
63663,"37.626970, -90.652601","Pilot Knob, Missouri",585,698.78,"#7,268"
65305,"38.733096, -93.553162","Whiteman Air Force Base, Missouri","3,819",679.27,"#7,343"
64152,"39.208188, -94.740339","Kansas City, Missouri","23,371",647.63,"#7,466"
63052,"38.388903, -90.436886","Imperial, Missouri","19,374",640.74,"#7,496"
64841,"37.087774, -94.408876","Duenweg, Missouri",415,622.7,"#7,569"
65802,"37.210517, -93.347255","Springfield, Missouri","39,272",615.41,"#7,604"
63366,"38.826669, -90.732453","O Fallon, Missouri","57,519",598.31,"#7,679"
63767,"37.046231, -89.611565","Morley, Missouri",787,594.99,"#7,696"
65203,"38.895416, -92.396065","Columbia, Missouri","45,379",590.35,"#7,714"
65809,"37.168255, -93.194047","Springfield, Missouri","9,501",560.17,"#7,846"
64150,"39.170054, -94.629946","Riverside, Missouri","2,891",558.82,"#7,856"
64012,"38.788391, -94.551918","Belton, Missouri","25,498",553.96,"#7,882"
64801,"37.111706, -94.500482","Joplin, Missouri","32,628",551.81,"#7,895"
64086,"38.899171, -94.272385","Lees Summit, Missouri","19,727",544.71,"#7,933"
63301,"38.858035, -90.463316","Saint Charles, Missouri","46,052",536.82,"#7,973"
63049,"38.478748, -90.536223","High Ridge, Missouri","13,931",522.11,"#8,049"
64064,"38.976923, -94.341749","Lees Summit, Missouri","11,265",509.04,"#8,123"
64083,"38.798579, -94.449086","Raymore, Missouri","12,785",461.98,"#8,397"
64072,"39.235398, -94.303600","Missouri City, Missouri",133,450.18,"#8,462"
63005,"38.640920, -90.654871","Chesterfield, Missouri","16,674",436.37,"#8,558"
65529,"37.924477, -91.983848","Jerome, Missouri",240,417.47,"#8,694"
65714,"37.038095, -93.320282","Nixa, Missouri","21,010",410.49,"#8,739"
65803,"37.283140, -93.289599","Springfield, Missouri","38,453",403.98,"#8,782"
64858,"36.901178, -94.530495","Racine, Missouri",157,401.01,"#8,803"
64068,"39.256763, -94.393240","Liberty, Missouri","33,068",391.07,"#8,879"
65201,"38.900932, -92.238438","Columbia, Missouri","34,547",382.58,"#8,959"
63070,"38.282351, -90.428814","Pevely, Missouri","5,807",380.1,"#8,978"
65686,"36.635894, -93.444930","Kimberling City, Missouri","4,356",371.13,"#9,047"
63828,"36.750369, -89.691841","Canalou, Missouri",352,359.28,"#9,138"
64804,"37.020237, -94.507294","Joplin, Missouri","34,586",356.91,"#9,161"
64870,"37.187183, -94.486441","Webb City, Missouri","11,365",353.79,"#9,186"
63012,"38.343565, -90.451743","Barnhart, Missouri","9,367",343.27,"#9,268"
